,,,,,
,,,,,
Method,CUDPBlast,,,,
MSS,1500,,,,
SendRate(Mb/s),RTT(ms),CWnd,PktSndPeriod(us),RecvACK,RecvNAK
165.644,100,83333,0,64,59
121.987,380.201,83333,0,4,37
10.3118,768.852,83333,0,29,1
102.16,597.638,83333,0,25,0
21.2958,591.39,83333,0,36,7
24.549,686.28,83333,0,5,11
100.7,629.476,83333,0,59,0
19.2456,629.476,83333,0,0,12
108.056,764.824,83333,0,38,0
10.8217,765.238,83333,0,5,5
71.1131,735.521,83333,0,3,0
9.59881,735.521,83333,0,0,9
98.2458,627.533,83333,0,11,0
103.898,643.093,83333,0,31,52
51.3268,643.342,83333,0,32,48
15.6035,675.868,83333,0,2,4
94.4669,728.813,83333,0,57,0
5.94411,728.813,83333,0,0,5
111.13,674.281,83333,0,56,0
8.553,672.137,83333,0,7,5
108.901,758.878,83333,0,42,0
6.6189,758.918,83333,0,1,10
101.753,777.349,83333,0,23,0
17.2424,778.236,83333,0,34,8
0.639991,778.236,83333,0,0,3
107.233,777.203,83333,0,46,0
5.01585,777.203,83333,0,0,1
117.127,733.652,83333,0,4,22
99.023,595.567,83333,0,60,31
99.0749,659.653,83333,0,9,3
34.0213,687.116,83333,0,43,3
1.05884,687.116,83333,0,0,5
115.335,681.332,83333,0,66,0
10.2616,681.332,83333,0,0,14
106.959,743.796,83333,0,34,0
21.0473,732.681,83333,0,21,7
3.69948,732.681,83333,0,0,2
119.442,655.593,83333,0,57,0
10.2651,655.593,83333,0,0,9
93.5607,684.903,83333,0,2,0
58.2753,720.401,83333,0,10,15
67.6224,709.366,83333,0,24,13
57.6292,714.717,83333,0,1,0
74.2871,752.137,83333,0,52,0
10.7329,752.137,83333,0,0,6
104.457,711.153,83333,0,32,0
3.41644,711.153,83333,0,0,2
107.373,649.413,83333,0,30,0
61.9101,609.924,83333,0,20,26
35.7755,761.559,83333,0,20,6
19.4905,761.559,83333,0,0,9
112.064,641.88,83333,0,55,0
15.7104,644.957,83333,0,7,9
78.2419,753.22,83333,0,27,0
35.0867,728.348,83333,0,29,6
9.83109,728.348,83333,0,0,7
111.106,736.743,83333,0,38,0
54.046,736.383,83333,0,1,10
16.4169,736.383,83333,0,0,2
102.316,724.116,83333,0,20,0
8.61629,724.116,83333,0,0,3
122.93,737.947,83333,0,13,0
19.0027,737.947,83333,0,0,15
103.307,637.142,83333,0,26,0
12.8943,637.142,83333,0,0,6
104.523,729.036,83333,0,30,0
28.9708,721.421,83333,0,1,21
49.1066,761.467,83333,0,15,0
60.2078,639.675,83333,0,22,0
24.8317,639.675,83333,0,0,8
24.6256,659.378,83333,0,6,0
102.754,573.794,83333,0,41,8
80.9782,761.901,83333,0,27,16
26.3819,761.901,83333,0,0,14
92.4177,650.085,83333,0,41,0
40.1755,629.764,83333,0,23,8
71.1378,726.366,83333,0,22,0
48.6192,593.365,83333,0,35,0
49.0995,712.596,83333,0,8,8
78.4976,720.331,83333,0,11,4
111.501,741.747,83333,0,58,14
46.3199,741.747,83333,0,0,19
80.0646,726.636,83333,0,31,0
42.8547,654.269,83333,0,30,5
51.1311,664.684,83333,0,1,1
87.6518,692.616,83333,0,47,0
18.6589,692.616,83333,0,0,10
112.848,741.172,83333,0,42,0
15.1535,735.528,83333,0,12,20
81.8117,708.011,83333,0,4,0
1.97594,708.011,83333,0,0,9
31.9908,658.66,83333,0,3,0
114.058,609.872,83333,0,5,42
3.98035,609.872,83333,0,0,0
97.8748,545.572,83333,0,7,0
17.6262,545.572,83333,0,0,13
0,545.572,83333,0,0,0
109.934,446.154,83333,0,38,0
53.7751,445.566,83333,0,21,41
106.54,717.959,83333,0,34,0
9.16446,717.959,83333,0,0,7
69.1581,738.031,83333,0,27,0
68.9075,674.184,83333,0,36,9
71.6321,702.998,83333,0,7,0
50.4489,721.541,83333,0,40,0
9.69465,721.541,83333,0,0,7
100.22,774.564,83333,0,18,0
45.9184,774.564,83333,0,0,2
109.128,671.339,83333,0,49,3
4.84314,671.339,83333,0,0,6
105.15,711.704,83333,0,34,0
5.68924,711.849,83333,0,3,3
105.272,727.81,83333,0,33,0
53.779,702.091,83333,0,26,46
103.815,657.179,83333,0,28,0
6.10827,656.922,83333,0,2,8
106.449,745.829,83333,0,38,0
43.4681,746.355,83333,0,21,25
110.225,658.271,83333,0,45,0
9.82301,662.904,83333,0,13,15
103.966,747.534,83333,0,26,0
4.37246,747.534,83333,0,0,3
102.723,756.781,83333,0,43,0
28.2805,742.64,83333,0,16,32
108.265,628.173,83333,0,37,0
13.7191,632.177,83333,0,18,4
77.3842,715.641,83333,0,7,1
20.3154,715.641,83333,0,0,0
113.135,585.413,83333,0,48,0
53.8675,585.413,83333,0,0,21
96.5532,669.487,83333,0,6,0
10.6595,669.487,83333,0,0,18
114.323,626.785,83333,0,50,0
40.9008,630.577,83333,0,8,19
90.8721,684.109,83333,0,39,0
33.614,665.794,83333,0,22,7
62.4051,707.747,83333,0,13,0
39.6128,708.869,83333,0,1,0
19.994,720.71,83333,0,4,2
97.6268,636.492,83333,0,55,0
35.8064,636.492,83333,0,0,23
87.6462,641.991,83333,0,31,0
35.0184,636.396,83333,0,6,7
66.7857,646.5,83333,0,2,0
53.1017,647.659,83333,0,16,1
24.7436,647.659,83333,0,0,9
110.767,721.315,83333,0,47,0
9.51372,721.315,83333,0,0,5
100.779,742.234,83333,0,16,0
13.5334,694.15,83333,0,14,9
114.069,639.703,83333,0,66,3
78.0421,598.305,83333,0,20,53
0.663527,598.305,83333,0,0,1
100.47,470.234,83333,0,28,0
16.9433,479.732,83333,0,34,9
50.4132,679.681,83333,0,8,9
61.9589,771.605,83333,0,50,1
52.3779,754.639,83333,0,7,3
65.0622,742.677,83333,0,54,1
5.44538,742.677,83333,0,0,5
107.948,701.651,83333,0,55,0
6.23851,701.651,83333,0,0,4
107.767,720.018,83333,0,40,0
5.00466,720.029,83333,0,1,5
67.2405,730.679,83333,0,8,0
1.86258,730.679,83333,0,0,1
97.4905,686.378,83333,0,7,0
91.6213,706.306,83333,0,20,67
1.10506,718.173,83333,0,3,1
110.885,466.484,83333,0,53,0
10.2325,466.38,83333,0,5,11
113.131,762.117,83333,0,57,0
6.91133,762.117,83333,0,0,8
101.699,770.673,83333,0,28,0
13.9257,748.299,83333,0,30,5
35.5771,717.974,83333,0,5,0
76.1708,691.754,83333,0,52,0
8.7455,691.754,83333,0,0,10
106.986,724.365,83333,0,51,0
97.0964,770.712,83333,0,17,4
91.3692,745.224,83333,0,43,36
1.91996,752.919,83333,0,4,6
104.318,596.789,83333,0,30,0
16.6312,593.953,83333,0,29,3
106.908,708.873,83333,0,41,0
10.7344,709.307,83333,0,17,8
104.285,681.607,83333,0,39,0
9.97643,681.875,83333,0,19,2
108.221,677.48,83333,0,47,0
9.08809,677.475,83333,0,12,4
45.6227,738.924,83333,0,13,0
62.8399,726.884,83333,0,46,0
10.1251,726.884,83333,0,0,8
41.2495,754.822,83333,0,7,0
97.4683,632.529,83333,0,12,0
85.0356,461.297,83333,0,51,33
7.944,638.518,83333,0,3,8
0.0930168,638.518,83333,0,0,1
0,638.518,83333,0,0,0
0,638.518,83333,0,0,0
41.4591,876.074,83333,0,13,0
65.3124,870.899,83333,0,48,0
8.50199,870.899,83333,0,0,5
105.686,750.283,83333,0,40,0
12.2781,740.081,83333,0,13,4
64.5287,752.194,83333,0,24,0
46.7325,694.833,83333,0,34,0
24.7537,708.627,83333,0,3,7
99.0123,643.235,83333,0,57,0
10.7517,643.235,83333,0,0,4
102.42,750.264,83333,0,37,0
5.67381,750.583,83333,0,4,3
83.2028,742.134,83333,0,24,0
35.0163,687.395,83333,0,26,5
4.21494,687.395,83333,0,0,2
103.253,688.53,83333,0,7,0
56.0087,688.53,83333,0,0,12
19.18,620.472,83333,0,3,0
88.9893,489.262,83333,0,45,0
85.8068,489.262,83333,0,0,16
57.0366,744.91,83333,0,35,0
28.0391,744.91,83333,0,0,14
109.181,725.954,83333,0,57,0
9.55881,725.954,83333,0,0,3
103.651,603.873,83333,0,36,0
32.8062,584.381,83333,0,23,9
98.9909,708.15,83333,0,17,0
9.18168,721.653,83333,0,22,4
95.1796,732.707,83333,0,3,0
0,732.707,83333,0,0,0
105.854,668.849,83333,0,43,0
26.9045,660.963,83333,0,15,22
86.3194,732.218,83333,0,7,0
12.2496,732.218,83333,0,0,5
0,732.218,83333,0,0,0
105.251,629.149,83333,0,41,0
35.9648,628.167,83333,0,7,24
111.424,666.747,83333,0,51,0
24.2915,666.757,83333,0,2,27
95.9319,693.532,83333,0,4,0
100.745,725.703,83333,0,17,3
33.3709,729.357,83333,0,32,21
11.6574,732.529,83333,0,1,2
97.7619,713.806,83333,0,53,0
7.0178,713.806,83333,0,0,10
110.778,762.766,83333,0,51,0
20.5605,762.583,83333,0,5,16
95.6025,759.163,83333,0,4,0
38.2815,683.119,83333,0,31,19
72.2085,748.046,83333,0,14,3
35.3714,754.571,83333,0,6,1
0,754.571,83333,0,0,0
103.821,621.321,83333,0,32,0
35.8469,619.933,83333,0,10,26
96.3097,644.954,83333,0,4,0
3.03785,644.954,83333,0,0,0
99.8787,607.152,83333,0,37,0
51.5958,647.547,83333,0,2,21
73.8783,678.475,83333,0,2,4
29.2094,678.475,83333,0,0,6
0,678.475,83333,0,0,0
108.559,692.039,83333,0,50,0
9.94859,692.039,83333,0,0,9
108.771,746.34,83333,0,55,0
6.7763,746.34,83333,0,0,16
98.9383,745.663,83333,0,15,0
52.2892,757.075,83333,0,7,0
72.9557,763.454,83333,0,48,14
7.01745,763.454,83333,0,0,15
98.6264,765.573,83333,0,17,0
0,765.573,83333,0,0,0
97.3068,699.434,83333,0,10,0
12.3362,699.434,83333,0,0,11
74.0417,633.589,83333,0,13,0
91.0935,638.954,83333,0,11,13
78.9525,646.173,83333,0,44,21
1.71978,646.173,83333,0,0,9
98.0905,749.804,83333,0,13,0
0,749.804,83333,0,0,0
104.932,657.599,83333,0,35,0
34.6713,656.781,83333,0,21,23
107.753,724.303,83333,0,38,0
8.28856,724.616,83333,0,10,3
105.496,726.189,83333,0,34,0
13.1341,710.296,83333,0,25,5
104.14,759.653,83333,0,31,0
5.76302,759.653,83333,0,0,9
101.425,771.999,83333,0,29,0
32.1703,772.256,83333,0,29,29
1.62858,772.256,83333,0,0,7
102.803,782.315,83333,0,44,0
5.69491,782.315,83333,0,0,16
100.372,772.33,83333,0,40,0
59.514,772.285,83333,0,18,32
103.009,656.099,83333,0,47,0
5.51466,655.92,83333,0,13,2
98.4017,769.99,83333,0,25,0
1.73436,769.99,83333,0,0,2
108.407,775.129,83333,0,55,0
24.8139,775.129,83333,0,4,17
104.485,765.939,83333,0,43,0
10.268,752.923,83333,0,16,19
52.7393,773.414,83333,0,6,0
54.3098,790.056,83333,0,45,2
51.8044,762.812,83333,0,7,0
61.1367,745.235,83333,0,46,2
3.11832,745.235,83333,0,0,6
98.8306,754.251,83333,0,23,0
3.56019,754.251,83333,0,0,1
95.4677,758.194,83333,0,4,0
104.004,722.881,83333,0,43,5
17.1398,720.425,83333,0,7,10
102.649,662.356,83333,0,42,0
4.89417,662.238,83333,0,6,5
97.6257,733.02,83333,0,16,0
0,733.02,83333,0,0,0
95.0782,714.658,83333,0,2,0
39.1897,714.658,83333,0,0,20
81.1235,641.128,83333,0,15,0
44.1119,629.818,83333,0,32,5
99.5111,684.683,83333,0,24,0
11.4295,686.966,83333,0,31,1
89.2915,698.101,83333,0,3,0
23.1465,697.471,83333,0,1,3
33.1479,655.036,83333,0,9,0
63.7381,633.092,83333,0,54,0
24.0918,633.092,83333,0,0,6
77.811,578.975,83333,0,51,0
73.4474,566.757,83333,0,29,0
35.2411,514.833,83333,0,20,0
25.4041,470.353,83333,0,41,0
6.64798,466.164,83333,0,26,0
0,466.164,83333,0,0,0
0,466.164,83333,0,0,0
0,466.164,83333,0,0,0
0,466.164,83333,0,0,0
0,466.164,83333,0,0,0
,,,,,
,,,,,
,,,,,
,,,,,
Method,CUDPBlast,,,,
MSS,750,,,,
SendRate(Mb/s),RTT(ms),CWnd,PktSndPeriod(us),RecvACK,RecvNAK
77.1377,156.468,83333,0,62,11
18.5585,584.273,83333,0,13,8
0,584.273,83333,0,0,0
0,584.273,83333,0,0,0
56.6343,432.934,83333,0,50,0
10.3807,446.315,83333,0,11,25
54.0419,772.942,83333,0,37,0
12.629,735.176,83333,0,21,20
6.1418,743.869,83333,0,2,2
50.558,614.519,83333,0,38,0
8.29295,614.519,83333,0,0,6
35.8083,626.321,83333,0,5,0
49.5231,580.458,83333,0,3,8
43.3632,504.18,83333,0,47,20
7.04094,504.18,83333,0,0,16
35.2042,662.268,83333,0,26,1
32.392,570.531,83333,0,33,1
11.2287,570.531,83333,0,0,10
32.438,618.456,83333,0,17,0
45.8387,578.684,83333,0,10,9
19.0954,578.684,83333,0,0,9
22.4041,516.222,83333,0,10,0
46.4731,526.336,83333,0,6,11
42.1153,398.984,83333,0,42,19
12.3497,658.135,83333,0,13,7
0,658.135,83333,0,0,0
0,658.135,83333,0,0,0
57.2162,481.837,83333,0,47,0
6.63236,481.837,83333,0,0,6
52.1449,656.932,83333,0,22,0
55.2448,533.758,83333,0,43,3
37.4227,564.892,83333,0,26,24
3.77711,625.472,83333,0,13,1
60.4597,391.254,83333,0,38,0
10.8475,434.611,83333,0,16,1
53.3327,696.431,83333,0,29,1
10.5681,643.236,83333,0,17,10
76.0265,599.191,83333,0,67,10
18.2681,691.568,83333,0,11,15
0.0959584,691.568,83333,0,0,1
63.4695,486.699,83333,0,60,0
11.6906,499.701,83333,0,5,10
57.3602,630.938,83333,0,24,0
45.39,712.478,83333,0,15,10
45.8534,652.461,83333,0,55,12
4.14486,713.408,83333,0,6,11
6.01299,713.408,83333,0,0,0
52.5365,551.556,83333,0,61,0
11.2768,551.556,83333,0,0,4
50.6417,712.161,83333,0,49,0
53.4649,700.601,83333,0,38,4
35.4977,625.521,83333,0,29,14
2.24534,696.618,83333,0,5,4
57.4075,519.738,83333,0,27,0
21.6354,514.338,83333,0,32,11
30.8329,767.703,83333,0,26,6
11.227,767.703,83333,0,0,5
48.0199,684.399,83333,0,15,0
49.2451,683.886,83333,0,10,3
25.4935,683.886,83333,0,0,9
21.937,644.543,83333,0,2,0
43.7613,507.102,83333,0,22,2
24.313,507.102,83333,0,0,9
47.7639,667.625,83333,0,10,0
35.5792,675.859,83333,0,1,2
6.94589,675.859,83333,0,0,2
57.6404,634.233,83333,0,29,0
58.4887,596.275,83333,0,37,7
37.6418,577.209,83333,0,26,31
0.637961,603.437,83333,0,1,5
52.8047,731.037,83333,0,30,0
8.57953,734.945,83333,0,15,2
44.1725,645.696,83333,0,18,0
26.2965,588.067,83333,0,30,4
0,588.067,83333,0,0,0
24.34,670.816,83333,0,7,1
82.1975,409.59,83333,0,51,7
17.8623,665.685,83333,0,12,4
1.22478,665.685,83333,0,0,1
0,665.685,83333,0,0,0
49.228,436.329,83333,0,40,0
34.3929,484.676,83333,0,14,10
22.5756,663.001,83333,0,10,0
55.7453,303.978,83333,0,41,0
37.3557,450.136,83333,0,36,20
4.64633,669.298,83333,0,12,0
0,669.298,83333,0,0,0
33.4141,430.551,83333,0,12,0
40.7495,463.386,83333,0,48,4
0,463.386,83333,0,0,0
45.0139,644.986,83333,0,12,0
47.6288,646.652,83333,0,11,2
26.4467,647.707,83333,0,1,6
46.2663,658.661,83333,0,13,1
52.5819,618.201,83333,0,12,8
2.91222,618.201,83333,0,0,1
28.2283,564.472,83333,0,7,0
0,564.472,83333,0,0,0
47.1396,488.118,83333,0,12,0
44.0967,504.212,83333,0,45,7
3.99529,636.106,83333,0,14,1
52.7473,390.803,83333,0,20,0
24.8941,448.023,83333,0,49,2
19.5254,570.232,83333,0,4,0
31.1541,621.118,83333,0,7,1
75.2756,551.15,83333,0,7,8
36.4845,323.044,83333,0,48,4
3.85464,323.044,83333,0,0,15
61.9347,690.906,83333,0,34,0
4.45104,695.555,83333,0,4,2
51.7062,752.887,83333,0,18,0
47.9394,740.807,83333,0,10,3
16.5502,740.807,83333,0,0,9
0,740.807,83333,0,0,0
34.819,552.947,83333,0,10,0
56.6534,501.785,83333,0,33,2
35.3148,526.006,83333,0,25,10
5.15644,687.328,83333,0,13,1
0,687.328,83333,0,0,0
56.92,388.132,83333,0,37,0
16.1936,417.986,83333,0,19,10
40.2794,706.215,83333,0,13,0
46.1316,684.313,83333,0,3,2
44.3512,477.034,83333,0,36,9
6.97851,583.435,83333,0,4,7
21.011,595.414,83333,0,5,0
48.2477,618.651,83333,0,60,3
4.96869,618.651,83333,0,0,2
45.2903,699.715,83333,0,7,0
1.10608,699.715,83333,0,0,1
44.1329,668.288,83333,0,3,0
44.5203,633.749,83333,0,7,9
2.90305,633.749,83333,0,0,1
49.5939,439.26,83333,0,21,0
15.9422,485.068,83333,0,46,2
7.91513,507.937,83333,0,1,0
50.4319,612.102,83333,0,38,0
67.527,565.778,83333,0,55,4
34.5064,578.032,83333,0,13,34
0,578.032,83333,0,0,0
63.8815,697.471,83333,0,56,0
10.6968,695.259,83333,0,9,15
51.911,774.238,83333,0,22,0
45.4906,746.268,83333,0,4,3
21.8924,746.268,83333,0,0,8
0,746.268,83333,0,0,0
51.1866,641.097,83333,0,21,0
5.96382,641.097,83333,0,0,3
62.2893,604.774,83333,0,35,0
30.9731,687.26,83333,0,16,10
0.850237,697.352,83333,0,1,0
65.5601,438.714,83333,0,51,0
17.3815,465.281,83333,0,12,23
27.9941,568.889,83333,0,3,0
30.0166,650.191,83333,0,8,1
10.9545,650.191,83333,0,0,6
43.0844,468.046,83333,0,13,0
52.2291,434.269,83333,0,24,6
40.2277,478.282,83333,0,29,17
1.39972,543.729,83333,0,2,3
